total_logons,unique_devices_logon,weekend_logons,after_hours_logons,avg_logon_hour,std_logon_hour,total_emails_sent,unique_recipients,avg_email_size,total_email_size,max_email_size,after_hours_emails,total_file_ops,unique_files,unique_devices_file,files_to_removable,files_from_removable,after_hours_file_ops,total_device_events,unique_devices_used,accessed_decoy
426,145,0,277,11.424882629107982,7.45876448436673,332,209,413150.8674698795,137166088,6590024,6,32.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,1
133,1,0,49,11.578947368421053,3.9103795954539073,31,19,766230.5806451613,23753148,3429677,2,5.0,4.0,1.0,0.0,0.0,2.0,0.0,0.0,1
97,1,0,0,12.45360824742268,4.52313639929175,31,22,245635.90322580645,7614713,2485841,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
133,1,0,21,12.06766917293233,4.110584063642267,30,25,1355844.0666666667,40675322,9636061,0,5.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1
97,1,0,49,11.948453608247423,5.025707110324166,276,186,270791.1847826087,74738367,7112880,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
97,1,0,46,12.515463917525773,5.504001200001867,432,232,422915.6990740741,182699582,8186351,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
130,1,0,0,13.184615384615384,3.51912739224687,293,179,300043.7986348123,87912833,5356401,0,6.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,1
97,1,0,0,12.989690721649485,4.515009333141021,278,183,221049.1834532374,61451673,10247243,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
134,1,0,49,11.582089552238806,3.8958209872698752,278,149,469464.8381294964,130511225,7868443,18,229.0,131.0,1.0,73.0,127.0,9.0,241.0,1.0,1
125,14,0,19,12.664,4.678268221082145,275,164,619295.3745454545,170306228,7542645,0,44.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,1
97,1,0,49,10.958762886597938,4.0205656882593335,413,306,560810.5811138015,231614770,9028164,62,601.0,216.0,1.0,184.0,346.0,42.0,147.0,1.0,1
135,1,0,49,11.28888888888889,3.890030630786564,420,248,509192.40476190473,213860810,8273974,75,31.0,11.0,1.0,0.0,0.0,7.0,0.0,0.0,1
137,1,0,0,12.824817518248175,4.254578520320574,85,58,743696.7176470588,63214221,3346603,0,20.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,1
97,1,0,49,11.515463917525773,5.2083934704431964,29,20,627417.9310344828,18195120,2604201,3,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1
97,1,0,49,11.45360824742268,4.52313639929175,92,69,316008.5326086957,29072785,9731047,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
131,17,0,23,12.106870229007633,4.129168119603878,90,66,661086.2555555556,59497763,6652207,0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1
96,1,0,0,13.5,4.523622209550312,268,180,295116.5858208955,79091245,8207417,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
97,1,0,0,12.948453608247423,5.025707110324166,93,67,357207.5698924731,33220304,5189260,0,9.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,1
97,1,0,48,14.092783505154639,5.5865957027864255,31,21,670375.0322580645,20781626,6352216,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1
97,1,0,49,11.948453608247423,5.025707110324166,30,23,1083080.9666666666,32492429,8947471,2,9.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,1
97,1,0,22,12.02061855670103,4.56658922100533,515,297,396366.83300970873,204128919,7528610,22,8.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1
163,15,0,47,11.644171779141104,3.7013193870399346,29,22,1275321.3448275863,36984319,6202727,3,15.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,1
97,1,0,49,10.474226804123711,3.5299102429132754,270,177,287932.52962962963,77741783,7538818,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
97,1,0,50,13.051546391752577,5.566587700326794,277,180,499373.87364620937,138326563,8594284,0,18.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,1
97,1,0,0,11.958762886597938,4.0205656882593335,92,64,602845.8369565217,55461817,9600893,0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1
134,1,0,53,12.26865671641791,4.792168076533996,275,190,422307.71636363637,116134622,5333729,17,48.0,20.0,1.0,10.0,15.0,0.0,38.0,1.0,1
153,2,5,71,11.562091503267974,5.532000287037467,279,151,273607.06093189964,76336370,5843218,9,177.0,98.0,1.0,51.0,97.0,10.0,151.0,1.0,1
164,17,0,22,11.21951219512195,2.9516529225690626,88,50,997501.7045454546,87780150,5926623,0,868.0,312.0,1.0,269.0,519.0,7.0,401.0,1.0,1
97,1,0,49,11.45360824742268,4.52313639929175,30,28,271226.06666666665,8136782,2867802,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
154,11,2,18,12.577922077922079,4.110853588081997,279,141,421712.523297491,117657794,5405650,8,293.0,143.0,1.0,89.0,62.0,1.0,1158.0,1.0,1
97,1,0,49,11.45360824742268,4.52313639929175,31,21,379404.9032258064,11761552,3962949,3,701.0,154.0,1.0,223.0,402.0,4.0,61.0,1.0,1
97,1,0,0,12.45360824742268,4.52313639929175,31,23,816690.8064516129,25317415,5050672,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
145,7,0,51,11.406896551724138,3.852301894329865,93,57,908244.0215053763,84466694,6726634,18,152.0,63.0,1.0,32.0,50.0,9.0,52.0,1.0,1
97,1,0,0,11.463917525773196,3.517994977226917,265,159,378255.61886792455,100237739,8943165,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
